business_date,sku,sale_price,qty_sold,on_promo
2026-08-06,BKY-002,3.86,16,1
2026-08-07,BKY-002,3.43,28,1
2026-08-08,BKY-002,4.29,16,0
2026-08-09,BKY-002,4.29,17,0
2026-08-10,BKY-002,4.29,17,0
2026-08-11,BKY-002,3.43,23,1
2026-08-12,BKY-002,4.29,19,0
2026-08-13,BKY-002,4.29,11,0
2026-08-14,BKY-002,3.86,25,1
2026-08-15,BKY-002,4.29,21,0
2026-08-16,BKY-002,4.29,26,0
2026-08-17,BKY-002,4.29,17,0
2026-08-18,BKY-002,4.29,13,0
2026-08-19,BKY-002,3.0,28,1
2026-08-20,BKY-002,3.86,24,1
2026-08-21,BKY-002,3.43,22,1
2026-08-22,BKY-002,4.29,14,0
2026-05-25,BKY-003,6.19,8,0
2026-05-26,BKY-003,4.95,19,1
2026-05-27,BKY-003,6.19,9,0
2026-05-28,BKY-003,6.19,11,0
2026-05-29,BKY-003,6.19,11,0
2026-05-30,BKY-003,6.19,9,0
2026-05-31,BKY-003,4.33,20,1
2026-06-01,BKY-003,6.19,9,0
2026-06-02,BKY-003,4.95,15,1
2026-06-03,BKY-003,6.19,11,0
2026-06-04,BKY-003,6.19,7,0
2026-06-05,BKY-003,6.19,10,0
2026-06-06,BKY-003,6.19,10,0
2026-06-07,BKY-003,4.95,16,1
2026-06-08,BKY-003,6.19,7,0
2026-06-09,BKY-003,6.19,9,0
2026-06-10,BKY-003,6.19,12,0
2026-06-11,BKY-003,6.19,10,0
2026-06-12,BKY-003,4.95,12,1
2026-06-13,BKY-003,6.19,10,0
2026-06-14,BKY-003,6.19,10,0
2026-06-15,BKY-003,5.57,10,1
2026-06-16,BKY-003,5.57,12,1
2026-06-17,BKY-003,6.19,10,0
2026-06-18,BKY-003,6.19,8,0
2026-06-19,BKY-003,6.19,11,0
2026-06-20,BKY-003,6.19,11,0
2026-06-21,BKY-003,5.57,13,1
2026-06-22,BKY-003,4.33,30,1
2026-06-23,BKY-003,6.19,10,0
2026-06-24,BKY-003,4.95,15,1
2026-06-25,BKY-003,6.19,9,0
2026-06-26,BKY-003,6.19,7,0
2026-06-27,BKY-003,4.33,29,1
2026-06-28,BKY-003,6.19,12,0
2026-06-29,BKY-003,6.19,7,0
2026-06-30,BKY-003,5.57,10,1
2026-07-01,BKY-003,6.19,9,0
2026-07-02,BKY-003,6.19,9,0
2026-07-03,BKY-003,6.19,8,0
2026-07-04,BKY-003,6.19,13,0
2026-07-05,BKY-003,6.19,9,0
2026-07-06,BKY-003,6.19,9,0
2026-07-07,BKY-003,6.19,13,0
2026-07-08,BKY-003,6.19,8,0
2026-07-09,BKY-003,6.19,9,0
2026-07-10,BKY-003,6.19,9,0
2026-07-11,BKY-003,6.19,8,0
2026-07-12,BKY-003,5.57,13,1
2026-07-13,BKY-003,6.19,11,0
2026-07-14,BKY-003,6.19,8,0
2026-07-15,BKY-003,6.19,8,0
2026-07-16,BKY-003,4.95,15,1
2026-07-17,BKY-003,6.19,9,0
2026-07-18,BKY-003,6.19,12,0
2026-07-19,BKY-003,4.33,20,1
2026-07-20,BKY-003,5.57,10,1
2026-07-21,BKY-003,6.19,10,0
2026-07-22,BKY-003,6.19,7,0
2026-07-23,BKY-003,4.33,10,1
2026-07-24,BKY-003,6.19,7,0
2026-07-25,BKY-003,6.19,13,0
2026-07-26,BKY-003,6.19,12,0
2026-07-27,BKY-003,6.19,7,0
2026-07-28,BKY-003,6.19,10,0
2026-07-29,BKY-003,6.19,6,0
2026-07-30,BKY-003,6.19,11,0
2026-07-31,BKY-003,6.19,16,0
2026-08-01,BKY-003,6.19,10,0
2026-08-02,BKY-003,4.95,14,1
2026-08-03,BKY-003,5.57,14,1
2026-08-04,BKY-003,6.19,11,0
2026-08-05,BKY-003,6.19,12,0
2026-08-06,BKY-003,6.19,10,0
2026-08-07,BKY-003,4.33,14,1
2026-08-08,BKY-003,6.19,14,0
2026-08-09,BKY-003,6.19,13,0
2026-08-10,BKY-003,6.19,6,0
2026-08-11,BKY-003,6.19,7,0
2026-08-12,BKY-003,6.19,8,0
2026-08-13,BKY-003,6.19,9,0
2026-08-14,BKY-003,6.19,8,0
2026-08-15,BKY-003,4.95,19,1
2026-08-16,BKY-003,6.19,11,0
2026-08-17,BKY-003,6.19,11,0
2026-08-18,BKY-003,6.19,6,0
2026-08-19,BKY-003,6.19,6,0
2026-08-20,BKY-003,6.19,7,0
2026-08-21,BKY-003,6.19,8,0
2026-08-22,BKY-003,4.33,18,1
2026-05-25,DEL-101,7.99,11,0
2026-05-26,DEL-101,7.99,12,0
2026-05-27,DEL-101,7.99,11,0
2026-05-28,DEL-101,7.99,11,0
2026-05-29,DEL-101,7.99,10,0
2026-05-30,DEL-101,7.99,16,0
2026-05-31,DEL-101,5.59,21,1
2026-06-01,DEL-101,7.99,11,0
2026-06-02,DEL-101,7.99,9,0
2026-06-03,DEL-101,7.99,11,0
2026-06-04,DEL-101,7.99,10,0
2026-06-05,DEL-101,7.99,11,0
2026-06-06,DEL-101,7.99,10,0
2026-06-07,DEL-101,7.99,13,0
2026-06-08,DEL-101,7.99,8,0
2026-06-09,DEL-101,7.99,10,0
2026-06-10,DEL-101,7.99,13,0
2026-06-11,DEL-101,7.99,10,0
2026-06-12,DEL-101,7.99,9,0
2026-06-13,DEL-101,7.99,15,0
2026-06-14,DEL-101,7.99,15,0
2026-06-15,DEL-101,7.99,14,0
2026-06-16,DEL-101,7.99,11,0
2026-06-17,DEL-101,7.99,8,0
2026-06-18,DEL-101,7.99,12,0
2026-06-19,DEL-101,7.99,16,0
2026-06-20,DEL-101,7.99,14,0
2026-06-21,DEL-101,7.99,12,0
2026-06-22,DEL-101,7.19,20,1
2026-06-23,DEL-101,7.99,11,0
2026-06-24,DEL-101,5.59,15,1
2026-06-25,DEL-101,7.99,13,0
2026-06-26,DEL-101,7.99,12,0
2026-06-27,DEL-101,7.19,12,1
2026-06-28,DEL-101,7.99,13,0
2026-06-29,DEL-101,7.99,12,0
2026-06-30,DEL-101,5.59,18,1
2026-07-01,DEL-101,7.99,11,0
2026-07-02,DEL-101,7.99,10,0
2026-07-03,DEL-101,7.99,13,0
2026-07-04,DEL-101,7.99,12,0
2026-07-05,DEL-101,7.99,13,0
2026-07-06,DEL-101,7.99,11,0
2026-07-07,DEL-101,7.99,9,0
2026-07-08,DEL-101,7.99,9,0
2026-07-09,DEL-101,7.99,11,0
2026-07-10,DEL-101,7.99,10,0
2026-07-11,DEL-101,7.99,8,0
2026-07-12,DEL-101,7.99,13,0
2026-07-13,DEL-101,7.99,10,0
2026-07-14,DEL-101,7.99,12,0
2026-07-15,DEL-101,7.99,12,0
2026-07-16,DEL-101,5.59,16,1
2026-07-17,DEL-101,7.99,13,0
2026-07-18,DEL-101,7.99,11,0
2026-07-19,DEL-101,7.99,12,0
2026-07-20,DEL-101,7.99,13,0
2026-07-21,DEL-101,7.99,10,0
2026-07-22,DEL-101,7.99,8,0
2026-07-23,DEL-101,7.99,11,0
2026-07-24,DEL-101,7.99,7,0
2026-07-25,DEL-101,7.99,13,0
2026-07-26,DEL-101,5.59,21,1
2026-07-27,DEL-101,7.99,12,0
2026-07-28,DEL-101,7.99,11,0
2026-07-29,DEL-101,7.99,13,0
2026-07-30,DEL-101,5.59,26,1
2026-07-31,DEL-101,7.99,12,0
2026-08-01,DEL-101,7.99,13,0
2026-08-02,DEL-101,7.99,14,0
2026-08-03,DEL-101,7.99,14,0
2026-08-04,DEL-101,7.99,11,0
2026-08-05,DEL-101,7.99,8,0
2026-08-06,DEL-101,5.59,21,1
2026-08-07,DEL-101,7.99,13,0
2026-08-08,DEL-101,7.99,15,0
2026-08-09,DEL-101,7.99,17,0
2026-08-10,DEL-101,6.39,19,1
2026-08-11,DEL-101,7.99,10,0
2026-08-12,DEL-101,7.19,17,1
2026-08-13,DEL-101,7.99,12,0
2026-08-14,DEL-101,7.99,9,0
2026-08-15,DEL-101,6.39,16,1
2026-08-16,DEL-101,7.99,18,0
2026-08-17,DEL-101,7.99,11,0
2026-08-18,DEL-101,7.99,12,0
2026-08-19,DEL-101,7.99,11,0
2026-08-20,DEL-101,7.99,10,0
2026-08-21,DEL-101,6.39,18,1
2026-08-22,DEL-101,7.99,14,0
2026-05-25,DEL-102,3.79,15,0
2026-05-26,DEL-102,3.79,19,0
2026-05-27,DEL-102,3.79,11,0
2026-05-28,DEL-102,3.79,19,0
2026-05-29,DEL-102,3.79,19,0
2026-05-30,DEL-102,3.79,18,0
2026-05-31,DEL-102,3.79,22,0
2026-06-01,DEL-102,3.79,15,0
2026-06-02,DEL-102,3.79,17,0
2026-06-03,DEL-102,3.79,16,0
2026-06-04,DEL-102,3.79,22,0
2026-06-05,DEL-102,2.65,30,1
2026-06-06,DEL-102,3.79,29,0
2026-06-07,DEL-102,3.79,20,0
2026-06-08,DEL-102,3.79,20,0
2026-06-09,DEL-102,3.79,24,0
2026-06-10,DEL-102,3.79,14,0
2026-06-11,DEL-102,3.79,17,0
2026-06-12,DEL-102,3.79,21,0
2026-06-13,DEL-102,3.79,19,0
2026-06-14,DEL-102,3.03,31,1
2026-06-15,DEL-102,3.79,18,0
2026-06-16,DEL-102,3.79,23,0
2026-06-17,DEL-102,3.79,17,0
2026-06-18,DEL-102,3.79,14,0
2026-06-19,DEL-102,3.79,20,0
2026-06-20,DEL-102,3.79,20,0
2026-06-21,DEL-102,3.79,25,0
2026-06-22,DEL-102,3.79,17,0
2026-06-23,DEL-102,3.41,20,1
2026-06-24,DEL-102,2.65,31,1
2026-06-25,DEL-102,3.79,20,0
2026-06-26,DEL-102,3.79,16,0
2026-06-27,DEL-102,2.65,40,1
2026-06-28,DEL-102,3.79,20,0
2026-06-29,DEL-102,3.79,18,0
2026-06-30,DEL-102,3.79,16,0
2026-07-01,DEL-102,3.79,22,0
2026-07-02,DEL-102,3.79,18,0
2026-07-03,DEL-102,3.79,14,0
2026-07-04,DEL-102,3.79,15,0
2026-07-05,DEL-102,3.79,20,0
2026-07-06,DEL-102,3.79,18,0
2026-07-07,DEL-102,3.41,15,1
2026-07-08,DEL-102,3.03,27,1
2026-07-09,DEL-102,2.65,26,1
2026-07-10,DEL-102,3.79,12,0
2026-07-11,DEL-102,3.79,18,0
2026-07-12,DEL-102,3.79,22,0
2026-07-13,DEL-102,3.41,22,1
2026-07-14,DEL-102,3.41,24,1
2026-07-15,DEL-102,3.79,25,0
2026-07-16,DEL-102,3.79,14,0
2026-07-17,DEL-102,3.03,21,1
2026-07-18,DEL-102,3.79,28,0
2026-07-19,DEL-102,3.79,17,0
2026-07-20,DEL-102,3.79,18,0
2026-07-21,DEL-102,3.79,14,0
2026-07-22,DEL-102,3.79,12,0
2026-07-23,DEL-102,3.79,18,0
2026-07-24,DEL-102,3.79,18,0
2026-07-25,DEL-102,3.79,22,0
2026-07-26,DEL-102,3.79,15,0
2026-07-27,DEL-102,3.79,14,0
2026-07-28,DEL-102,3.79,13,0
2026-07-29,DEL-102,3.79,18,0
2026-07-30,DEL-102,3.03,26,1
2026-07-31,DEL-102,3.79,16,0
2026-08-01,DEL-102,2.65,47,1
2026-08-02,DEL-102,3.79,23,0
2026-08-03,DEL-102,3.79,13,0
2026-08-04,DEL-102,3.79,17,0
2026-08-05,DEL-102,3.79,22,0
2026-08-06,DEL-102,3.03,28,1
2026-08-07,DEL-102,3.79,23,0
2026-08-08,DEL-102,3.79,18,0
2026-08-09,DEL-102,3.79,27,0
2026-08-10,DEL-102,3.79,23,0
2026-08-11,DEL-102,3.79,17,0
2026-08-12,DEL-102,3.79,19,0
2026-08-13,DEL-102,3.79,22,0
2026-08-14,DEL-102,3.03,23,1
2026-08-15,DEL-102,3.41,22,1
2026-08-16,DEL-102,3.79,22,0
2026-08-17,DEL-102,3.79,18,0
2026-08-18,DEL-102,3.79,21,0
2026-08-19,DEL-102,3.79,20,0
2026-08-20,DEL-102,3.79,22,0
2026-08-21,DEL-102,3.03,28,1
2026-08-22,DEL-102,3.79,19,0
2026-05-25,DRY-201,3.49,29,1
2026-05-26,DRY-201,4.99,23,0
2026-05-27,DRY-201,4.49,24,1
2026-05-28,DRY-201,4.99,19,0
2026-05-29,DRY-201,4.99,18,0
2026-05-30,DRY-201,4.49,21,1
2026-05-31,DRY-201,4.99,23,0
2026-06-01,DRY-201,4.99,23,0
2026-06-02,DRY-201,4.99,22,0
2026-06-03,DRY-201,4.99,14,0
2026-06-04,DRY-201,4.99,19,0
2026-06-05,DRY-201,3.99,25,1
2026-06-06,DRY-201,4.99,25,0
2026-06-07,DRY-201,4.99,29,0
2026-06-08,DRY-201,4.99,25,0
2026-06-09,DRY-201,3.49,33,1
2026-06-10,DRY-201,4.99,28,0
2026-06-11,DRY-201,4.99,29,0
2026-06-12,DRY-201,4.99,15,0
2026-06-13,DRY-201,4.99,28,0
2026-06-14,DRY-201,4.99,28,0
2026-06-15,DRY-201,4.99,21,0
2026-06-16,DRY-201,4.99,28,0
2026-06-17,DRY-201,4.99,22,0
2026-06-18,DRY-201,4.99,24,0
2026-06-19,DRY-201,4.99,21,0
2026-06-20,DRY-201,4.99,24,0
2026-06-21,DRY-201,4.99,18,0
2026-06-22,DRY-201,3.99,27,1
2026-06-23,DRY-201,4.49,26,1
2026-06-24,DRY-201,4.49,23,1
2026-06-25,DRY-201,4.99,23,0
2026-06-26,DRY-201,4.99,24,0
2026-06-27,DRY-201,4.99,17,0
2026-06-28,DRY-201,4.99,25,0
2026-06-29,DRY-201,3.99,31,1
2026-06-30,DRY-201,4.99,18,0
2026-07-01,DRY-201,4.99,22,0
2026-07-02,DRY-201,4.99,28,0
2026-07-03,DRY-201,4.99,20,0
2026-07-04,DRY-201,4.99,24,0
2026-07-05,DRY-201,3.99,25,1
2026-07-06,DRY-201,4.99,14,0
2026-07-07,DRY-201,4.99,24,0
2026-07-08,DRY-201,4.99,18,0
2026-07-09,DRY-201,4.49,33,1
2026-07-10,DRY-201,4.99,25,0
2026-07-11,DRY-201,4.99,30,0
2026-07-12,DRY-201,4.99,21,0
2026-07-13,DRY-201,3.99,34,1
2026-07-14,DRY-201,4.99,23,0
2026-07-15,DRY-201,4.99,18,0
2026-07-16,DRY-201,4.99,27,0
2026-07-17,DRY-201,3.49,33,1
2026-07-18,DRY-201,3.99,31,1
2026-07-19,DRY-201,4.99,30,0
2026-07-20,DRY-201,4.99,19,0
2026-07-21,DRY-201,3.49,27,1
2026-07-22,DRY-201,4.99,24,0
2026-07-23,DRY-201,4.99,26,0
2026-07-24,DRY-201,4.99,22,0
2026-07-25,DRY-201,4.99,27,0
2026-07-26,DRY-201,4.99,21,0
2026-07-27,DRY-201,3.99,31,1
2026-07-28,DRY-201,3.99,30,1
2026-07-29,DRY-201,4.99,22,0
2026-07-30,DRY-201,4.99,23,0
2026-07-31,DRY-201,4.99,21,0
2026-08-01,DRY-201,4.99,23,0
2026-08-02,DRY-201,4.99,25,0
2026-08-03,DRY-201,4.99,25,0
2026-08-04,DRY-201,4.99,24,0
2026-08-05,DRY-201,3.99,27,1
2026-08-06,DRY-201,4.99,25,0
2026-08-07,DRY-201,4.99,20,0
2026-08-08,DRY-201,4.99,22,0
2026-08-09,DRY-201,3.49,32,1
2026-08-10,DRY-201,4.99,24,0
2026-08-11,DRY-201,4.99,24,0
2026-08-12,DRY-201,4.99,18,0
2026-08-13,DRY-201,4.99,19,0
2026-08-14,DRY-201,4.49,32,1
2026-08-15,DRY-201,4.99,28,0
2026-08-16,DRY-201,4.99,24,0
2026-08-17,DRY-201,4.99,22,0
2026-08-18,DRY-201,3.49,46,1
2026-08-19,DRY-201,4.99,21,0
2026-08-20,DRY-201,4.99,19,0
2026-08-21,DRY-201,4.99,17,0
2026-08-22,DRY-201,4.99,16,0
2026-05-25,DRY-202,8.49,6,0
2026-05-26,DRY-202,5.94,12,1
2026-05-27,DRY-202,6.79,10,1
2026-05-28,DRY-202,6.79,8,1
2026-05-29,DRY-202,6.79,10,1
2026-05-30,DRY-202,8.49,7,0
2026-05-31,DRY-202,7.64,7,1
2026-06-01,DRY-202,8.49,7,0
2026-06-02,DRY-202,8.49,7,0
2026-06-03,DRY-202,8.49,8,0
2026-06-04,DRY-202,8.49,8,0
2026-06-05,DRY-202,6.79,9,1
2026-06-06,DRY-202,8.49,7,0
2026-06-07,DRY-202,8.49,7,0
2026-06-08,DRY-202,8.49,9,0
2026-06-09,DRY-202,8.49,7,0
2026-06-10,DRY-202,7.64,9,1
2026-06-11,DRY-202,8.49,6,0
2026-06-12,DRY-202,6.79,8,1
2026-06-13,DRY-202,8.49,7,0
2026-06-14,DRY-202,7.64,8,1
2026-06-15,DRY-202,8.49,6,0
2026-06-16,DRY-202,8.49,6,0
2026-06-17,DRY-202,7.64,8,1
2026-06-18,DRY-202,8.49,8,0
2026-06-19,DRY-202,8.49,5,0
2026-06-20,DRY-202,8.49,9,0
2026-06-21,DRY-202,5.94,13,1
2026-06-22,DRY-202,8.49,6,0
2026-06-23,DRY-202,8.49,7,0
2026-06-24,DRY-202,8.49,7,0
2026-06-25,DRY-202,8.49,7,0
2026-06-26,DRY-202,8.49,7,0
2026-06-27,DRY-202,8.49,8,0
2026-06-28,DRY-202,6.79,15,1
2026-06-29,DRY-202,8.49,10,0
2026-06-30,DRY-202,5.94,10,1
2026-07-01,DRY-202,8.49,8,0
2026-07-02,DRY-202,8.49,7,0
2026-07-03,DRY-202,8.49,11,0
2026-07-04,DRY-202,8.49,9,0
2026-07-05,DRY-202,8.49,11,0
2026-07-06,DRY-202,8.49,8,0
2026-07-07,DRY-202,8.49,4,0
2026-07-08,DRY-202,8.49,8,0
2026-07-09,DRY-202,8.49,6,0
2026-07-10,DRY-202,8.49,7,0
2026-07-11,DRY-202,7.64,9,1
2026-07-12,DRY-202,8.49,8,0
2026-07-13,DRY-202,8.49,9,0
2026-07-14,DRY-202,8.49,7,0
2026-07-15,DRY-202,8.49,6,0
2026-07-16,DRY-202,8.49,8,0
2026-07-17,DRY-202,8.49,9,0
2026-07-18,DRY-202,8.49,10,0
2026-07-19,DRY-202,5.94,12,1
2026-07-20,DRY-202,8.49,6,0
2026-07-21,DRY-202,8.49,6,0
2026-07-22,DRY-202,8.49,6,0
2026-07-23,DRY-202,8.49,8,0
2026-07-24,DRY-202,8.49,7,0
2026-07-25,DRY-202,8.49,9,0
2026-07-26,DRY-202,8.49,7,0
2026-07-27,DRY-202,8.49,6,0
2026-07-28,DRY-202,7.64,8,1
2026-07-29,DRY-202,8.49,6,0
2026-07-30,DRY-202,8.49,8,0
2026-07-31,DRY-202,6.79,10,1
2026-08-01,DRY-202,8.49,7,0
2026-08-02,DRY-202,8.49,9,0
2026-08-03,DRY-202,8.49,8,0
2026-08-04,DRY-202,8.49,9,0
2026-08-05,DRY-202,8.49,7,0
2026-08-06,DRY-202,8.49,6,0
2026-08-07,DRY-202,8.49,9,0
2026-08-08,DRY-202,8.49,8,0
2026-08-09,DRY-202,8.49,7,0
2026-08-10,DRY-202,7.64,6,1
2026-08-11,DRY-202,8.49,8,0
2026-08-12,DRY-202,8.49,6,0
2026-08-13,DRY-202,8.49,8,0
2026-08-14,DRY-202,8.49,7,0
2026-08-15,DRY-202,8.49,9,0
2026-08-16,DRY-202,8.49,8,0
2026-08-17,DRY-202,8.49,6,0
2026-08-18,DRY-202,8.49,4,0
2026-08-19,DRY-202,8.49,7,0
2026-08-20,DRY-202,8.49,7,0
2026-08-21,DRY-202,8.49,7,0
2026-08-22,DRY-202,5.94,13,1
2026-05-25,BEV-301,4.49,12,0
2026-05-26,BEV-301,4.49,14,0
2026-05-27,BEV-301,3.59,12,1
2026-05-28,BEV-301,4.04,14,1
2026-05-29,BEV-301,4.49,11,0
2026-05-30,BEV-301,4.49,16,0
2026-05-31,BEV-301,4.49,15,0
2026-06-01,BEV-301,4.49,14,0
2026-06-02,BEV-301,4.49,19,0
2026-06-03,BEV-301,3.14,18,1
2026-06-04,BEV-301,4.49,11,0
2026-06-05,BEV-301,3.14,17,1
2026-06-06,BEV-301,4.49,19,0
2026-06-07,BEV-301,4.49,12,0
2026-06-08,BEV-301,4.49,10,0
2026-06-09,BEV-301,4.49,13,0
2026-06-10,BEV-301,4.49,15,0
2026-06-11,BEV-301,3.59,15,1
2026-06-12,BEV-301,4.49,11,0
2026-06-13,BEV-301,4.49,15,0
2026-06-14,BEV-301,4.49,15,0
2026-06-15,BEV-301,3.59,15,1
2026-06-16,BEV-301,4.04,15,1
2026-06-17,BEV-301,4.49,9,0
2026-06-18,BEV-301,4.49,16,0
2026-06-19,BEV-301,4.49,15,0
2026-06-20,BEV-301,4.49,9,0
2026-06-21,BEV-301,4.04,15,1
2026-06-22,BEV-301,3.14,17,1
2026-06-23,BEV-301,4.49,11,0
2026-06-24,BEV-301,4.04,20,1
2026-06-25,BEV-301,3.59,16,1
2026-06-26,BEV-301,3.59,25,1
2026-06-27,BEV-301,4.49,19,0
